MeasureID,GeoType,GeoID,Time,ban_summary_flag,Value,CI,Note,DisplayValue,MeasureName
391,Borough,1,Winter 2020-21,0,16.129,,,16.1,
391,Borough,1,Winter 2019-20,0,19.45,,,19.4,
391,Borough,1,Winter 2018-19,0,18.51,,,18.5,
391,Borough,1,Winter 2017-18,0,18.57,,,18.6,
391,Borough,1,Winter 2016-17,0,21.75,,,21.8,
391,Borough,1,Winter 2015-16,0,23.66,,,23.7,
391,Borough,1,Winter 2014-15,0,24.7,,,24.7,
391,Borough,1,Winter 2013-14,0,29.84,,,29.8,
391,Borough,1,Winter 2012-13,0,26.06,,,26.1,
391,Borough,1,Winter 2011-12,0,28.29,,,28.3,
391,Borough,1,Winter 2010-11,0,38.83,,,38.8,
391,Borough,1,Winter 2009-10,0,29.52,,,29.5,
391,Borough,1,Winter 2008-09,0,37.41,,,37.4,
391,Borough,1,Summer 2021,0,6.7173,,,6.7,
391,Borough,1,Summer 2020,0,5.62,,,5.6,
391,Borough,1,Summer 2019,0,6.78,,,6.8,
391,Borough,1,Summer 2018,0,6.96,,,7.0,
391,Borough,1,Summer 2017,0,7.55,,,7.6,
391,Borough,1,Summer 2016,0,8.04,,,8.0,
391,Borough,1,Summer 2015,0,9.49,,,9.5,
391,Borough,1,Summer 2014,0,12.93,,,12.9,
391,Borough,1,Summer 2013,0,10.17,,,10.2,
391,Borough,1,Summer 2012,0,9.35,,,9.3,
391,Borough,1,Summer 2011,0,11.91,,,11.9,
391,Borough,1,Summer 2010,0,10.81,,,10.8,
391,Borough,1,Summer 2009,0,15.09,,,15.1,
391,Borough,1,Annual Average 2021,0,11.481,,,11.5,
391,Borough,1,Annual Average 2020,0,11.11,,,11.1,
391,Borough,1,Annual Average 2019,0,11.69,,,11.7,
391,Borough,1,Annual Average 2018,0,12.29,,,12.3,
391,Borough,1,Annual Average 2017,0,13.55,,,13.6,
391,Borough,1,Annual Average 2016,0,15.44,,,15.4,
391,Borough,1,Annual Average 2015,0,18.14,,,18.1,
391,Borough,1,Annual Average 2014,0,20.64,,,20.6,
391,Borough,1,Annual Average 2013,0,17.63,,,17.6,
391,Borough,1,Annual Average 2012,0,19.55,,,19.6,
391,Borough,1,Annual Average 2011,0,24.33,,,24.3,
391,Borough,1,Annual Average 2010,0,22.03,,,22.0,
391,Borough,1,Annual Average 2009,0,26.11,,,26.1,
391,Borough,1,2-Year Annual Average 2009-2010,1,40.6,,,40.6,
391,Borough,2,Winter 2020-21,0,19.1289,,,19.1,
391,Borough,2,Winter 2019-20,0,23.39,,,23.4,
391,Borough,2,Winter 2018-19,0,18.4,,,18.4,
391,Borough,2,Winter 2017-18,0,19.65,,,19.6,
391,Borough,2,Winter 2016-17,0,21.18,,,21.2,
391,Borough,2,Winter 2015-16,0,26.15,,,26.1,
391,Borough,2,Winter 2014-15,0,26.76,,,26.8,
391,Borough,2,Winter 2013-14,0,33.76,,,33.8,
391,Borough,2,Winter 2012-13,0,24.61,,,24.6,
391,Borough,2,Winter 2011-12,0,25.67,,,25.7,
391,Borough,2,Winter 2010-11,0,38.28,,,38.3,
391,Borough,2,Winter 2009-10,0,28.89,,,28.9,
391,Borough,2,Winter 2008-09,0,31.85,,,31.8,
391,Borough,2,Summer 2021,0,7.0862,,,7.1,
391,Borough,2,Summer 2020,0,5.74,,,5.7,
391,Borough,2,Summer 2019,0,6.4,,,6.4,
391,Borough,2,Summer 2018,0,7.04,,,7.0,
391,Borough,2,Summer 2017,0,7.77,,,7.8,
391,Borough,2,Summer 2016,0,8.53,,,8.5,
391,Borough,2,Summer 2015,0,9.91,,,9.9,
391,Borough,2,Summer 2014,0,11.53,,,11.5,
391,Borough,2,Summer 2013,0,9.42,,,9.4,
391,Borough,2,Summer 2012,0,9.31,,,9.3,
391,Borough,2,Summer 2011,0,11.92,,,11.9,
391,Borough,2,Summer 2010,0,9.74,,,9.7,
391,Borough,2,Summer 2009,0,14.18,,,14.2,
391,Borough,2,Annual Average 2021,0,12.7388,,,12.7,
391,Borough,2,Annual Average 2020,0,12.03,,,12.0,
391,Borough,2,Annual Average 2019,0,11.44,,,11.4,
391,Borough,2,Annual Average 2018,0,13.48,,,13.5,
391,Borough,2,Annual Average 2017,0,14.65,,,14.6,
391,Borough,2,Annual Average 2016,0,17.36,,,17.4,
391,Borough,2,Annual Average 2015,0,18.49,,,18.5,
391,Borough,2,Annual Average 2014,0,20.84,,,20.8,
391,Borough,2,Annual Average 2013,0,16.7,,,16.7,
391,Borough,2,Annual Average 2012,0,18.77,,,18.8,
391,Borough,2,Annual Average 2011,0,23.73,,,23.7,
391,Borough,2,Annual Average 2010,0,21.24,,,21.2,
391,Borough,2,Annual Average 2009,0,23.13,,,23.1,
391,Borough,2,2-Year Annual Average 2009-2010,1,23.6,,,23.6,
391,Borough,3,Winter 2020-21,0,19.0944,,,19.1,
391,Borough,3,Winter 2019-20,0,27.21,,,27.2,
391,Borough,3,Winter 2018-19,0,21.74,,,21.7,
391,Borough,3,Winter 2017-18,0,27.51,,,27.5,
391,Borough,3,Winter 2016-17,0,28.28,,,28.3,
391,Borough,3,Winter 2015-16,0,33.15,,,33.1,
