MeasureID,GeoType,GeoID,Time,ban_summary_flag,Value,CI,Note,DisplayValue,MeasureName
375,Borough,1,Winter 2020-21,0,19.9163,,,19.9,
375,Borough,1,Winter 2019-20,0,23.04,,,23.0,
375,Borough,1,Winter 2018-19,0,20.89,,,20.9,
375,Borough,1,Winter 2017-18,0,23.57,,,23.6,
375,Borough,1,Winter 2016-17,0,26.37,,,26.4,
375,Borough,1,Winter 2015-16,0,22.28,,,22.3,
375,Borough,1,Winter 2014-15,0,23.92,,,23.9,
375,Borough,1,Winter 2013-14,0,25.87,,,25.9,
375,Borough,1,Winter 2012-13,0,24.03,,,24.0,
375,Borough,1,Winter 2011-12,0,23.48,,,23.5,
375,Borough,1,Winter 2010-11,0,28.19,,,28.2,
375,Borough,1,Winter 2009-10,0,24.39,,,24.4,
375,Borough,1,Winter 2008-09,0,29.29,,,29.3,
375,Borough,1,Summer 2021,0,12.826,,,12.8,
375,Borough,1,Summer 2020,0,13.16,,,13.2,
375,Borough,1,Summer 2019,0,13.14,,,13.1,
375,Borough,1,Summer 2018,0,13.62,,,13.6,
375,Borough,1,Summer 2017,0,14.97,,,15.0,
375,Borough,1,Summer 2016,0,14.92,,,14.9,
375,Borough,1,Summer 2015,0,15.96,,,16.0,
375,Borough,1,Summer 2014,0,15.75,,,15.8,
375,Borough,1,Summer 2013,0,15.91,,,15.9,
375,Borough,1,Summer 2012,0,17.02,,,17.0,
375,Borough,1,Summer 2011,0,18.31,,,18.3,
375,Borough,1,Summer 2010,0,19.42,,,19.4,
375,Borough,1,Summer 2009,0,20.83,,,20.8,
375,Borough,1,Annual Average 2021,0,16.541,,,16.5,
375,Borough,1,Annual Average 2020,0,17.1,,,17.1,
375,Borough,1,Annual Average 2019,0,16.01,,,16.0,
375,Borough,1,Annual Average 2018,0,17.73,,,17.7,
375,Borough,1,Annual Average 2017,0,19.35,,,19.4,
375,Borough,1,Annual Average 2016,0,18.42,,,18.4,
375,Borough,1,Annual Average 2015,0,19.97,,,20.0,
375,Borough,1,Annual Average 2014,0,19.8,,,19.8,
375,Borough,1,Annual Average 2013,0,19.86,,,19.9,
375,Borough,1,Annual Average 2012,0,20.99,,,21.0,
375,Borough,1,Annual Average 2011,0,22.73,,,22.7,
375,Borough,1,Annual Average 2010,0,22.16,,,22.2,
375,Borough,1,Annual Average 2009,0,24.52,,,24.5,
375,Borough,2,Winter 2020-21,0,22.7368,,,22.7,
375,Borough,2,Winter 2019-20,0,25.56,,,25.6,
375,Borough,2,Winter 2018-19,0,21.79,,,21.8,
375,Borough,2,Winter 2017-18,0,24.01,,,24.0,
375,Borough,2,Winter 2016-17,0,24.74,,,24.7,
375,Borough,2,Winter 2015-16,0,23.38,,,23.4,
375,Borough,2,Winter 2014-15,0,25.26,,,25.3,
375,Borough,2,Winter 2013-14,0,27.78,,,27.8,
375,Borough,2,Winter 2012-13,0,25.3,,,25.3,
375,Borough,2,Winter 2011-12,0,23.5,,,23.5,
375,Borough,2,Winter 2010-11,0,29.66,,,29.7,
375,Borough,2,Winter 2009-10,0,27.17,,,27.2,
375,Borough,2,Winter 2008-09,0,29.43,,,29.4,
375,Borough,2,Summer 2021,0,11.4646,,,11.5,
375,Borough,2,Summer 2020,0,10.82,,,10.8,
375,Borough,2,Summer 2019,0,13.4,,,13.4,
375,Borough,2,Summer 2018,0,12.54,,,12.5,
375,Borough,2,Summer 2017,0,13.44,,,13.4,
375,Borough,2,Summer 2016,0,13.62,,,13.6,
375,Borough,2,Summer 2015,0,14.09,,,14.1,
375,Borough,2,Summer 2014,0,14.54,,,14.5,
375,Borough,2,Summer 2013,0,15.75,,,15.8,
375,Borough,2,Summer 2012,0,16.27,,,16.3,
375,Borough,2,Summer 2011,0,18.14,,,18.1,
375,Borough,2,Summer 2010,0,18.23,,,18.2,
375,Borough,2,Summer 2009,0,20.14,,,20.1,
375,Borough,2,Annual Average 2021,0,16.6809,,,16.7,
375,Borough,2,Annual Average 2020,0,16.0,,,16.0,
375,Borough,2,Annual Average 2019,0,16.53,,,16.5,
375,Borough,2,Annual Average 2018,0,17.83,,,17.8,
375,Borough,2,Annual Average 2017,0,18.46,,,18.5,
375,Borough,2,Annual Average 2016,0,18.48,,,18.5,
375,Borough,2,Annual Average 2015,0,19.29,,,19.3,
375,Borough,2,Annual Average 2014,0,19.95,,,19.9,
375,Borough,2,Annual Average 2013,0,19.92,,,19.9,
375,Borough,2,Annual Average 2012,0,20.56,,,20.6,
375,Borough,2,Annual Average 2011,0,22.84,,,22.8,
375,Borough,2,Annual Average 2010,0,22.7,,,22.7,
375,Borough,2,Annual Average 2009,0,24.11,,,24.1,
375,Borough,3,Winter 2020-21,0,23.674,,,23.7,
375,Borough,3,Winter 2019-20,0,29.31,,,29.3,
375,Borough,3,Winter 2018-19,0,26.02,,,26.0,
375,Borough,3,Winter 2017-18,0,28.62,,,28.6,
375,Borough,3,Winter 2016-17,0,29.74,,,29.7,
375,Borough,3,Winter 2015-16,0,27.51,,,27.5,
375,Borough,3,Winter 2014-15,0,28.69,,,28.7,
375,Borough,3,Winter 2013-14,0,32.41,,,32.4,
375,Borough,3,Winter 2012-13,0,31.61,,,31.6,
375,Borough,3,Winter 2011-12,0,30.21,,,30.2,
375,Borough,3,Winter 2010-11,0,35.38,,,35.4,
375,Borough,3,Winter 2009-10,0,32.17,,,32.2,
375,Borough,3,Winter 2008-09,0,38.35,,,38.4,
375,Borough,3,Summer 2021,0,16.3685,,,16.4,
375,Borough,3,Summer 2020,0,15.97,,,16.0,
375,Borough,3,Summer 2019,0,19.7,,,19.7,
375,Borough,3,Summer 2018,0,19.67,,,19.7,
375,Borough,3,Summer 2017,0,21.33,,,21.3,
375,Borough,3,Summer 2016,0,20.56,,,20.6,
375,Borough,3,Summer 2015,0,21.25,,,21.2,
375,Borough,3,Summer 2014,0,22.69,,,22.7,
375,Borough,3,Summer 2013,0,24.71,,,24.7,
375,Borough,3,Summer 2012,0,25.83,,,25.8,
375,Borough,3,Summer 2011,0,27.72,,,27.7,
375,Borough,3,Summer 2010,0,28.52,,,28.5,
375,Borough,3,Summer 2009,0,30.87,,,30.9,
375,Borough,3,Annual Average 2021,0,19.9694,,,20.0,
375,Borough,3,Annual Average 2020,0,20.54,,,20.5,
375,Borough,3,Annual Average 2019,0,21.71,,,21.7,
375,Borough,3,Annual Average 2018,0,23.43,,,23.4,
375,Borough,3,Annual Average 2017,0,24.55,,,24.6,
375,Borough,3,Annual Average 2016,0,24.35,,,24.4,
375,Borough,3,Annual Average 2015,0,25.18,,,25.2,
375,Borough,3,Annual Average 2014,0,26.7,,,26.7,
375,Borough,3,Annual Average 2013,0,28.02,,,28.0,
375,Borough,3,Annual Average 2012,0,28.74,,,28.7,
375,Borough,3,Annual Average 2011,0,30.96,,,31.0,
375,Borough,3,Annual Average 2010,0,30.58,,,30.6,
375,Borough,3,Annual Average 2009,0,33.89,,,33.9,
375,Borough,4,Winter 2020-21,0,20.7332,,,20.7,
375,Borough,4,Winter 2019-20,0,22.86,,,22.9,
375,Borough,4,Winter 2018-19,0,20.42,,,20.4,
375,Borough,4,Winter 2017-18,0,23.47,,,23.5,
375,Borough,4,Winter 2016-17,0,24.83,,,24.8,
375,Borough,4,Winter 2015-16,0,22.45,,,22.4,
375,Borough,4,Winter 2014-15,0,23.93,,,23.9,
375,Borough,4,Winter 2013-14,0,26.84,,,26.8,
375,Borough,4,Winter 2012-13,0,22.84,,,22.8,
375,Borough,4,Winter 2011-12,0,22.62,,,22.6,
375,Borough,4,Winter 2010-11,0,28.32,,,28.3,
375,Borough,4,Winter 2009-10,0,25.02,,,25.0,
375,Borough,4,Winter 2008-09,0,27.86,,,27.9,
375,Borough,4,Summer 2021,0,11.0058,,,11.0,
375,Borough,4,Summer 2020,0,10.0,,,10.0,
375,Borough,4,Summer 2019,0,13.06,,,13.1,
375,Borough,4,Summer 2018,0,12.52,,,12.5,
375,Borough,4,Summer 2017,0,13.42,,,13.4,
375,Borough,4,Summer 2016,0,13.08,,,13.1,
375,Borough,4,Summer 2015,0,13.47,,,13.5,
375,Borough,4,Summer 2014,0,13.66,,,13.7,
375,Borough,4,Summer 2013,0,15.6,,,15.6,
375,Borough,4,Summer 2012,0,15.84,,,15.8,
375,Borough,4,Summer 2011,0,17.04,,,17.0,
375,Borough,4,Summer 2010,0,17.42,,,17.4,
375,Borough,4,Summer 2009,0,18.15,,,18.1,
375,Borough,4,Annual Average 2021,0,15.4627,,,15.5,
375,Borough,4,Annual Average 2020,0,14.82,,,14.8,
375,Borough,4,Annual Average 2019,0,15.66,,,15.7,
375,Borough,4,Annual Average 2018,0,17.18,,,17.2,
375,Borough,4,Annual Average 2017,0,17.85,,,17.8,
