MeasureID,GeoType,GeoID,Time,ban_summary_flag,Value,CI,Note,DisplayValue,MeasureName
639,Borough,1,2015-2017,0,44.4,,,44.4,
639,Borough,1,2012-2014,0,47.2892,,,47.3,
639,Borough,1,2009-2011,0,55.0,,,55.0,
639,Borough,1,2005-2007,0,76.5,,,76.5,
639,Borough,2,2015-2017,0,38.3,,,38.3,
639,Borough,2,2012-2014,0,40.9601,,,41.0,
639,Borough,2,2009-2011,0,50.1,,,50.1,
639,Borough,2,2005-2007,0,67.8,,,67.8,
639,Borough,3,2015-2017,0,38.0,,,38.0,
639,Borough,3,2012-2014,0,44.0231,,,44.0,
639,Borough,3,2009-2011,0,50.0,,,50.0,
639,Borough,3,2005-2007,0,64.0,,,64.0,
639,Borough,4,2015-2017,0,31.4,,,31.4,
639,Borough,4,2012-2014,0,32.7629,,,32.8,
639,Borough,4,2009-2011,0,40.5,,,40.5,
639,Borough,4,2005-2007,0,54.8,,,54.8,
639,Borough,5,2015-2017,0,46.9,,,46.9,
639,Borough,5,2012-2014,0,47.8475,,,47.8,
639,Borough,5,2009-2011,0,51.7,,,51.7,
639,Borough,5,2005-2007,0,70.7,,,70.7,
639,UHF42,101,2015-2017,0,63.0,,,63.0,
639,UHF42,101,2012-2014,0,69.3636,,,69.4,
639,UHF42,101,2009-2011,0,77.6,,,77.6,
639,UHF42,101,2005-2007,0,117.7,,,117.7,
639,UHF42,102,2015-2017,0,47.3,,,47.3,
639,UHF42,102,2012-2014,0,47.8734,,,47.9,
639,UHF42,102,2009-2011,0,57.0,,,57.0,
639,UHF42,102,2005-2007,0,77.3,,,77.3,
639,UHF42,103,2015-2017,0,41.4,,,41.4,
639,UHF42,103,2012-2014,0,43.5377,,,43.5,
639,UHF42,103,2009-2011,0,49.6,,,49.6,
639,UHF42,103,2005-2007,0,67.3,,,67.3,
639,UHF42,104,2015-2017,0,42.8,,,42.8,
639,UHF42,104,2012-2014,0,45.3989,,,45.4,
639,UHF42,104,2009-2011,0,54.5,,,54.5,
639,UHF42,104,2005-2007,0,73.6,,,73.6,
639,UHF42,105,2015-2017,0,38.4,,,38.4,
639,UHF42,105,2012-2014,0,42.5773,,,42.6,
639,UHF42,105,2009-2011,0,47.4,,,47.4,
639,UHF42,105,2005-2007,0,65.8,,,65.8,
639,UHF42,106,2015-2017,0,43.0,,,43.0,
639,UHF42,106,2012-2014,0,47.6448,,,47.6,
639,UHF42,106,2009-2011,0,55.8,,,55.8,
639,UHF42,106,2005-2007,0,84.8,,,84.8,
639,UHF42,107,2015-2017,0,45.4,,,45.4,
639,UHF42,107,2012-2014,0,46.5087,,,46.5,
639,UHF42,107,2009-2011,0,58.8,,,58.8,
639,UHF42,107,2005-2007,0,71.0,,,71.0,
639,UHF42,201,2015-2017,0,29.9,,,29.9,
639,UHF42,201,2012-2014,0,37.0775,,,37.1,
639,UHF42,201,2009-2011,0,45.6,,,45.6,
639,UHF42,201,2005-2007,0,64.0,,,64.0,
639,UHF42,202,2015-2017,0,26.5,,,26.5,
639,UHF42,202,2012-2014,0,36.0414,,,36.0,
639,UHF42,202,2009-2011,0,40.5,,,40.5,
639,UHF42,202,2005-2007,0,58.9,,,58.9,
639,UHF42,203,2015-2017,0,41.8,,,41.8,
639,UHF42,203,2012-2014,0,45.4988,,,45.5,
639,UHF42,203,2009-2011,0,55.9,,,55.9,
639,UHF42,203,2005-2007,0,80.0,,,80.0,
639,UHF42,204,2015-2017,0,37.1,,,37.1,
639,UHF42,204,2012-2014,0,38.5675,,,38.6,
639,UHF42,204,2009-2011,0,45.9,,,45.9,
639,UHF42,204,2005-2007,0,64.1,,,64.1,
639,UHF42,205,2015-2017,0,28.0,,,28.0,
639,UHF42,205,2012-2014,0,30.8583,,,30.9,
639,UHF42,205,2009-2011,0,38.7,,,38.7,
639,UHF42,205,2005-2007,0,49.2,,,49.2,
639,UHF42,206,2015-2017,0,39.2,,,39.2,
639,UHF42,206,2012-2014,0,42.1409,,,42.1,
639,UHF42,206,2009-2011,0,50.3,,,50.3,
639,UHF42,206,2005-2007,0,68.2,,,68.2,
639,UHF42,207,2015-2017,0,36.2,,,36.2,
639,UHF42,207,2012-2014,0,37.2755,,,37.3,
639,UHF42,207,2009-2011,0,43.2,,,43.2,
639,UHF42,207,2005-2007,0,54.9,,,54.9,
639,UHF42,208,2015-2017,0,40.0,,,40.0,
639,UHF42,208,2012-2014,0,39.489,,,39.5,
639,UHF42,208,2009-2011,0,49.7,,,49.7,
639,UHF42,208,2005-2007,0,61.1,,,61.1,
639,UHF42,209,2015-2017,0,40.5,,,40.5,
639,UHF42,209,2012-2014,0,41.3171,,,41.3,
639,UHF42,209,2009-2011,0,53.6,,,53.6,
639,UHF42,209,2005-2007,0,73.4,,,73.4,
639,UHF42,210,2015-2017,0,53.1,,,53.1,
639,UHF42,210,2012-2014,0,49.6276,,,49.6,
639,UHF42,210,2009-2011,0,63.4,,,63.4,
639,UHF42,210,2005-2007,0,83.3,,,83.3,
639,UHF42,211,2015-2017,0,34.7,,,34.7,
639,UHF42,211,2012-2014,0,41.09,,,41.1,
639,UHF42,211,2009-2011,0,50.0,,,50.0,
639,UHF42,211,2005-2007,0,72.2,,,72.2,
639,UHF42,301,2015-2017,0,33.2,,,33.2,
639,UHF42,301,2012-2014,0,38.8773,,,38.9,
639,UHF42,301,2009-2011,0,46.0,,,46.0,
639,UHF42,301,2005-2007,0,60.5,,,60.5,
639,UHF42,302,2015-2017,0,45.4,,,45.4,
639,UHF42,302,2012-2014,0,53.0944,,,53.1,
639,UHF42,302,2009-2011,0,63.6,,,63.6,
639,UHF42,302,2005-2007,0,105.2,,,105.2,
639,UHF42,303,2015-2017,0,54.2,,,54.2,
639,UHF42,303,2012-2014,0,57.8506,,,57.9,
639,UHF42,303,2009-2011,0,69.9,,,69.9,
639,UHF42,303,2005-2007,0,100.5,,,100.5,
639,UHF42,304,2015-2017,0,40.5,,,40.5,
639,UHF42,304,2012-2014,0,44.148,,,44.1,
639,UHF42,304,2009-2011,0,48.9,,,48.9,
639,UHF42,304,2005-2007,0,59.5,,,59.5,
639,UHF42,305,2015-2017,0,35.4,,,35.4,
639,UHF42,305,2012-2014,0,43.3665,,,43.4,
639,UHF42,305,2009-2011,0,45.3,,,45.3,
639,UHF42,305,2005-2007,0,55.3,,,55.3,
639,UHF42,306,2015-2017,0,31.7,,,31.7,
639,UHF42,306,2012-2014,0,40.1842,,,40.2,
639,UHF42,306,2009-2011,0,39.7,,,39.7,
639,UHF42,306,2005-2007,0,57.5,,,57.5,
639,UHF42,307,2015-2017,0,35.7,,,35.7,
639,UHF42,307,2012-2014,0,45.2394,,,45.2,
639,UHF42,307,2009-2011,0,47.9,,,47.9,
639,UHF42,307,2005-2007,0,52.7,,,52.7,
639,UHF42,308,2015-2017,0,25.5,,,25.5,
639,UHF42,308,2012-2014,0,31.691,,,31.7,
639,UHF42,308,2009-2011,0,41.0,,,41.0,
639,UHF42,308,2005-2007,0,45.4,,,45.4,
639,UHF42,309,2015-2017,0,45.1,,,45.1,
639,UHF42,309,2012-2014,0,47.2858,,,47.3,
639,UHF42,309,2009-2011,0,58.8,,,58.8,
639,UHF42,309,2005-2007,0,66.9,,,66.9,
639,UHF42,310,2015-2017,0,27.3,,,27.3,
639,UHF42,310,2012-2014,0,34.3658,,,34.4,
639,UHF42,310,2009-2011,0,36.4,,,36.4,
639,UHF42,310,2005-2007,0,59.5,,,59.5,
639,UHF42,401,2015-2017,0,31.4,,,31.4,
639,UHF42,401,2012-2014,0,31.5934,,,31.6,
639,UHF42,401,2009-2011,0,39.8,,,39.8,
639,UHF42,401,2005-2007,0,55.3,,,55.3,
639,UHF42,402,2015-2017,0,27.1,,,27.1,
639,UHF42,402,2012-2014,0,26.2941,,,26.3,
639,UHF42,402,2009-2011,0,33.2,,,33.2,
639,UHF42,402,2005-2007,0,44.6,,,44.6,
639,UHF42,403,2015-2017,0,36.1,,,36.1,
639,UHF42,403,2012-2014,0,36.5054,,,36.5,
639,UHF42,403,2009-2011,0,43.6,,,43.6,
639,UHF42,403,2005-2007,0,54.5,,,54.5,
