MeasureID,GeoType,GeoID,Time,ban_summary_flag,Value,CI,Note,DisplayValue,MeasureName
221,Borough,1,2017-21,0,26.5,,,26.5,
221,Borough,1,2016-20,0,26.96,,,27.0,
221,Borough,1,2015-19,0,28.01,,,28.0,
221,Borough,1,2014-18,0,29.05,,,29.0,
221,Borough,1,2013-17,0,29.73,,,29.7,
221,Borough,1,2012-16,0,30.53,,,30.5,
221,Borough,1,2011-15,0,30.7,,,30.7,
221,Borough,1,2010-14,0,30.47,,,30.5,
221,Borough,1,2009-13,0,29.8,,,29.8,
221,Borough,1,2008-12,0,29.32,,,29.3,
221,Borough,1,2007-11,0,28.48,,,28.5,
221,Borough,2,2017-21,0,18.79,,,18.8,
221,Borough,2,2016-20,0,19.23,,,19.2,
221,Borough,2,2015-19,0,19.95,,,19.9,
221,Borough,2,2014-18,0,21.14,,,21.1,
221,Borough,2,2013-17,0,21.85,,,21.8,
221,Borough,2,2012-16,0,22.73,,,22.7,
221,Borough,2,2011-15,0,23.21,,,23.2,
221,Borough,2,2010-14,0,23.36,,,23.4,
221,Borough,2,2009-13,0,23.15,,,23.1,
221,Borough,2,2008-12,0,22.7,,,22.7,
221,Borough,2,2007-11,0,22.15,,,22.1,
221,Borough,3,2017-21,0,15.55,,,15.6,
221,Borough,3,2016-20,0,15.57,,,15.6,
221,Borough,3,2015-19,0,15.83,,,15.8,
221,Borough,3,2014-18,0,16.61,,,16.6,
221,Borough,3,2013-17,0,17.27,,,17.3,
221,Borough,3,2012-16,0,17.62,,,17.6,
221,Borough,3,2011-15,0,17.92,,,17.9,
221,Borough,3,2010-14,0,17.74,,,17.7,
221,Borough,3,2009-13,0,17.71,,,17.7,
221,Borough,3,2008-12,0,17.54,,,17.5,
221,Borough,3,2007-11,0,17.63,,,17.6,
221,Borough,4,2017-21,0,11.41,,,11.4,
221,Borough,4,2016-20,0,11.6,,,11.6,
221,Borough,4,2015-19,0,12.23,,,12.2,
221,Borough,4,2014-18,0,12.99,,,13.0,
221,Borough,4,2013-17,0,13.71,,,13.7,
221,Borough,4,2012-16,0,14.63,,,14.6,
221,Borough,4,2011-15,0,15.11,,,15.1,
221,Borough,4,2010-14,0,15.29,,,15.3,
221,Borough,4,2009-13,0,14.96,,,15.0,
221,Borough,4,2008-12,0,14.36,,,14.4,
221,Borough,4,2007-11,0,13.67,,,13.7,
221,Borough,5,2017-21,0,10.3,,,10.3,
221,Borough,5,2016-20,0,10.81,,,10.8,
221,Borough,5,2015-19,0,11.65,,,11.6,
221,Borough,5,2014-18,0,12.82,,,12.8,
221,Borough,5,2013-17,0,12.92,,,12.9,
221,Borough,5,2012-16,0,12.94,,,12.9,
221,Borough,5,2011-15,0,12.53,,,12.5,
221,Borough,5,2010-14,0,12.33,,,12.3,
221,Borough,5,2009-13,0,11.85,,,11.8,
221,Borough,5,2008-12,0,11.33,,,11.3,
221,Borough,5,2007-11,0,11.05,,,11.0,
221,Subboro,1,2017-21,0,38.89,,,38.9,
221,Subboro,1,2016-20,0,39.08,,,39.1,
221,Subboro,1,2015-19,0,40.08,,,40.1,
221,Subboro,1,2014-18,0,40.82,,,40.8,
221,Subboro,1,2013-17,0,41.53,,,41.5,
221,Subboro,1,2012-16,0,42.59,,,42.6,
221,Subboro,1,2011-15,0,43.1,,,43.1,
221,Subboro,1,2010-14,0,42.78,,,42.8,
221,Subboro,1,2009-13,0,41.97,,,42.0,
221,Subboro,1,2008-12,0,42.7,,,42.7,
221,Subboro,1,2007-11,0,41.01,,,41.0,
221,Subboro,2,2017-21,0,37.32,,,37.3,
221,Subboro,2,2016-20,0,37.23,,,37.2,
221,Subboro,2,2015-19,0,38.55,,,38.5,
221,Subboro,2,2014-18,0,39.57,,,39.6,
221,Subboro,2,2013-17,0,40.91,,,40.9,
221,Subboro,2,2012-16,0,42.73,,,42.7,
221,Subboro,2,2011-15,0,43.88,,,43.9,
221,Subboro,2,2010-14,0,43.99,,,44.0,
221,Subboro,2,2009-13,0,42.87,,,42.9,
221,Subboro,2,2008-12,0,43.23,,,43.2,
221,Subboro,2,2007-11,0,41.55,,,41.5,
221,Subboro,3,2017-21,0,32.01,,,32.0,
221,Subboro,3,2016-20,0,33.45,,,33.4,
221,Subboro,3,2015-19,0,34.46,,,34.5,
221,Subboro,3,2014-18,0,35.52,,,35.5,
221,Subboro,3,2013-17,0,37.1,,,37.1,
221,Subboro,3,2012-16,0,37.47,,,37.5,
221,Subboro,3,2011-15,0,38.51,,,38.5,
221,Subboro,3,2010-14,0,38.03,,,38.0,
221,Subboro,3,2009-13,0,36.13,,,36.1,
221,Subboro,3,2008-12,0,36.02,,,36.0,
221,Subboro,3,2007-11,0,36.19,,,36.2,
221,Subboro,4,2017-21,0,33.21,,,33.2,
221,Subboro,4,2016-20,0,35.47,,,35.5,
221,Subboro,4,2015-19,0,36.69,,,36.7,
221,Subboro,4,2014-18,0,39.46,,,39.5,
221,Subboro,4,2013-17,0,40.02,,,40.0,
221,Subboro,4,2012-16,0,41.61,,,41.6,
221,Subboro,4,2011-15,0,41.7,,,41.7,
