MeasureID,GeoType,GeoID,Time,ban_summary_flag,Value,CI,Note,DisplayValue,MeasureName
698,Borough,1,2013-2014,0,7010.0,,,"7,010",
698,Borough,1,2012-2013,0,6572.0,,,"6,572",
698,Borough,1,2011-2012,0,6051.0,,,"6,051",
698,Borough,1,2010-2011,0,4868.0,,,"4,868",
698,Borough,2,2013-2014,0,5676.0,,,"5,676",
698,Borough,2,2012-2013,0,5369.0,,,"5,369",
698,Borough,2,2011-2012,0,5041.0,,,"5,041",
698,Borough,2,2010-2011,0,4301.0,,,"4,301",
698,Borough,3,2013-2014,0,2617.0,,,"2,617",
698,Borough,3,2012-2013,0,2451.0,,,"2,451",
698,Borough,3,2011-2012,0,2265.0,,,"2,265",
698,Borough,3,2010-2011,0,1812.0,,,"1,812",
698,Borough,4,2013-2014,0,3990.0,,,"3,990",
698,Borough,4,2012-2013,0,3745.0,,,"3,745",
698,Borough,4,2011-2012,0,3604.0,,,"3,604",
698,Borough,4,2010-2011,0,3053.0,,,"3,053",
698,Borough,5,2013-2014,0,823.0,,,823,
698,Borough,5,2012-2013,0,841.0,,,841,
698,Borough,5,2011-2012,0,864.0,,,864,
698,Borough,5,2010-2011,0,816.0,,,816,
698,UHF42,101,2013-2014,0,189.0,,,189,
698,UHF42,101,2012-2013,0,207.0,,,207,
698,UHF42,101,2011-2012,0,183.0,,,183,
698,UHF42,101,2010-2011,0,156.0,,,156,
698,UHF42,102,2013-2014,0,653.0,,,653,
698,UHF42,102,2012-2013,0,570.0,,,570,
698,UHF42,102,2011-2012,0,559.0,,,559,
698,UHF42,102,2010-2011,0,478.0,,,478,
698,UHF42,103,2013-2014,0,1148.0,,,"1,148",
698,UHF42,103,2012-2013,0,1123.0,,,"1,123",
698,UHF42,103,2011-2012,0,1077.0,,,"1,077",
698,UHF42,103,2010-2011,0,895.0,,,895,
698,UHF42,104,2013-2014,0,1377.0,,,"1,377",
698,UHF42,104,2012-2013,0,1302.0,,,"1,302",
698,UHF42,104,2011-2012,0,1179.0,,,"1,179",
698,UHF42,104,2010-2011,0,900.0,,,900,
698,UHF42,105,2013-2014,0,1209.0,,,"1,209",
698,UHF42,105,2012-2013,0,1118.0,,,"1,118",
698,UHF42,105,2011-2012,0,1030.0,,,"1,030",
698,UHF42,105,2010-2011,0,839.0,,,839,
698,UHF42,106,2013-2014,0,1213.0,,,"1,213",
698,UHF42,106,2012-2013,0,1134.0,,,"1,134",
698,UHF42,106,2011-2012,0,1053.0,,,"1,053",
698,UHF42,106,2010-2011,0,817.0,,,817,
698,UHF42,107,2013-2014,0,1221.0,,,"1,221",
698,UHF42,107,2012-2013,0,1118.0,,,"1,118",
698,UHF42,107,2011-2012,0,970.0,,,970,
698,UHF42,107,2010-2011,0,783.0,,,783,
698,UHF42,201,2013-2014,0,171.0,,,171,
698,UHF42,201,2012-2013,0,134.0,,,134,
698,UHF42,201,2011-2012,0,157.0,,,157,
698,UHF42,201,2010-2011,0,129.0,,,129,
698,UHF42,202,2013-2014,0,381.0,,,381,
698,UHF42,202,2012-2013,0,383.0,,,383,
698,UHF42,202,2011-2012,0,347.0,,,347,
698,UHF42,202,2010-2011,0,269.0,,,269,
698,UHF42,203,2013-2014,0,1287.0,,,"1,287",
698,UHF42,203,2012-2013,0,1214.0,,,"1,214",
698,UHF42,203,2011-2012,0,1103.0,,,"1,103",
698,UHF42,203,2010-2011,0,951.0,,,951,
