MeasureID,GeoType,GeoID,Time,ban_summary_flag,Value,CI,Note,DisplayValue,MeasureName
652,Borough,1,2015-2017,0,4.6,,,4.6,"Deaths from ozone, Estimated annual rate"
652,Borough,1,2012-2014,0,5.0,,,5.0,"Deaths from ozone, Estimated annual rate"
652,Borough,1,2009-2011,0,4.1,,,4.1,"Deaths from ozone, Estimated annual rate"
652,Borough,1,2005-2007,0,3.9,,,3.9,"Deaths from ozone, Estimated annual rate"
652,Borough,2,2015-2017,0,5.0,,,5.0,"Deaths from ozone, Estimated annual rate"
652,Borough,2,2012-2014,0,5.2,,,5.2,"Deaths from ozone, Estimated annual rate"
652,Borough,2,2009-2011,0,5.2,,,5.2,"Deaths from ozone, Estimated annual rate"
652,Borough,2,2005-2007,0,5.6,,,5.6,"Deaths from ozone, Estimated annual rate"
652,Borough,3,2015-2017,0,3.9,,,3.9,"Deaths from ozone, Estimated annual rate"
652,Borough,3,2012-2014,0,4.2,,,4.2,"Deaths from ozone, Estimated annual rate"
652,Borough,3,2009-2011,0,3.8,,,3.8,"Deaths from ozone, Estimated annual rate"
652,Borough,3,2005-2007,0,3.9,,,3.9,"Deaths from ozone, Estimated annual rate"
652,Borough,4,2015-2017,0,4.7,,,4.7,"Deaths from ozone, Estimated annual rate"
652,Borough,4,2012-2014,0,4.9,,,4.9,"Deaths from ozone, Estimated annual rate"
652,Borough,4,2009-2011,0,4.5,,,4.5,"Deaths from ozone, Estimated annual rate"
652,Borough,4,2005-2007,0,4.8,,,4.8,"Deaths from ozone, Estimated annual rate"
652,Borough,5,2015-2017,0,7.5,,,7.5,"Deaths from ozone, Estimated annual rate"
652,Borough,5,2012-2014,0,7.5,,,7.5,"Deaths from ozone, Estimated annual rate"
652,Borough,5,2009-2011,0,7.8,,,7.8,"Deaths from ozone, Estimated annual rate"
652,Borough,5,2005-2007,0,7.8,,,7.8,"Deaths from ozone, Estimated annual rate"
652,UHF42,101,2015-2017,0,8.3,,,8.3,"Deaths from ozone, Estimated annual rate"
652,UHF42,101,2012-2014,0,10.5,,,10.5,"Deaths from ozone, Estimated annual rate"
652,UHF42,101,2009-2011,0,8.6,,,8.6,"Deaths from ozone, Estimated annual rate"
652,UHF42,101,2005-2007,0,9.9,,,9.9,"Deaths from ozone, Estimated annual rate"
652,UHF42,102,2015-2017,0,6.2,,,6.2,"Deaths from ozone, Estimated annual rate"
652,UHF42,102,2012-2014,0,6.6,,,6.6,"Deaths from ozone, Estimated annual rate"
652,UHF42,102,2009-2011,0,5.4,,,5.4,"Deaths from ozone, Estimated annual rate"
652,UHF42,102,2005-2007,0,5.4,,,5.4,"Deaths from ozone, Estimated annual rate"
652,UHF42,103,2015-2017,0,4.0,,,4.0,"Deaths from ozone, Estimated annual rate"
652,UHF42,103,2012-2014,0,4.2,,,4.2,"Deaths from ozone, Estimated annual rate"
652,UHF42,103,2009-2011,0,4.0,,,4.0,"Deaths from ozone, Estimated annual rate"
652,UHF42,103,2005-2007,0,3.3,,,3.3,"Deaths from ozone, Estimated annual rate"
652,UHF42,104,2015-2017,0,4.8,,,4.8,"Deaths from ozone, Estimated annual rate"
652,UHF42,104,2012-2014,0,5.5,,,5.5,"Deaths from ozone, Estimated annual rate"
652,UHF42,104,2009-2011,0,4.5,,,4.5,"Deaths from ozone, Estimated annual rate"
652,UHF42,104,2005-2007,0,4.4,,,4.4,"Deaths from ozone, Estimated annual rate"
652,UHF42,105,2015-2017,0,3.4,,,3.4,"Deaths from ozone, Estimated annual rate"
652,UHF42,105,2012-2014,0,3.4,,,3.4,"Deaths from ozone, Estimated annual rate"
